Machine Module,Spectrum Analyzer
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.019197,Auto
Start Frequency,+8.679594190e+08
Stop Frequency,+8.682056690e+08
Average Type,Log Pwr
RBW,3000.000000,Auto
VBW,3000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,OFF
Ref Level,-1.300000000e+01
Attenuation,10,Auto
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,A,Frequency,868.082544 MHz,-74.46 dBm
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
8.679594e+08,-7.746757e+01
8.679597e+08,-7.654960e+01
8.679601e+08,-7.640800e+01
8.679604e+08,-7.603690e+01
8.679607e+08,-7.599296e+01
8.679611e+08,-7.673515e+01
8.679614e+08,-7.721366e+01
8.679617e+08,-7.790702e+01
8.679620e+08,-7.898612e+01
8.679624e+08,-8.017265e+01
8.679627e+08,-8.104667e+01
8.679630e+08,-8.227226e+01
8.679634e+08,-8.232108e+01
8.679637e+08,-8.111503e+01
8.679640e+08,-7.896659e+01
8.679643e+08,-7.844413e+01
8.679647e+08,-7.731620e+01
8.679650e+08,-7.627616e+01
8.679653e+08,-7.578788e+01
8.679657e+08,-7.519218e+01
8.679660e+08,-7.424003e+01
8.679663e+08,-7.401054e+01
8.679666e+08,-7.354667e+01
8.679670e+08,-7.340995e+01
8.679673e+08,-7.339530e+01
8.679676e+08,-7.370780e+01
8.679680e+08,-7.396659e+01
8.679683e+08,-7.496757e+01
8.679686e+08,-7.655937e+01
8.679689e+08,-7.607108e+01
8.679693e+08,-7.486991e+01
8.679696e+08,-7.441581e+01
8.679699e+08,-7.382499e+01
8.679703e+08,-7.367851e+01
8.679706e+08,-7.387870e+01
8.679709e+08,-7.375663e+01
8.679712e+08,-7.430351e+01
8.679716e+08,-7.521659e+01
8.679719e+08,-7.545585e+01
8.679722e+08,-7.633476e+01
8.679726e+08,-7.712089e+01
8.679729e+08,-7.687187e+01
8.679732e+08,-7.667167e+01
8.679735e+08,-7.602226e+01
8.679739e+08,-7.570976e+01
8.679742e+08,-7.513847e+01
8.679745e+08,-7.498222e+01
8.679749e+08,-7.483573e+01
8.679752e+08,-7.487480e+01
8.679755e+08,-7.528495e+01
8.679758e+08,-7.559745e+01
8.679762e+08,-7.626640e+01
8.679765e+08,-7.709159e+01
8.679768e+08,-7.897147e+01
8.679771e+08,-7.766288e+01
8.679775e+08,-7.668632e+01
8.679778e+08,-7.633476e+01
8.679781e+08,-7.580741e+01
8.679785e+08,-7.573905e+01
8.679788e+08,-7.579765e+01
8.679791e+08,-7.572929e+01
8.679794e+08,-7.615897e+01
8.679798e+08,-7.649589e+01
8.679801e+08,-7.689140e+01
8.679804e+08,-7.682792e+01
8.679808e+08,-7.678886e+01
8.679811e+08,-7.632499e+01
8.679814e+08,-7.586112e+01
8.679817e+08,-7.583671e+01
8.679821e+08,-7.506522e+01
8.679824e+08,-7.526054e+01
8.679827e+08,-7.527030e+01
8.679831e+08,-7.559745e+01
8.679834e+08,-7.595390e+01
8.679837e+08,-7.690605e+01
8.679840e+08,-7.771171e+01
8.679844e+08,-7.819511e+01
8.679847e+08,-7.801444e+01
8.679850e+08,-7.780937e+01
8.679854e+08,-7.765800e+01
8.679857e+08,-7.793144e+01
8.679860e+08,-7.901542e+01
8.679863e+08,-7.929374e+01
8.679867e+08,-8.069999e+01
8.679870e+08,-8.156425e+01
8.679873e+08,-8.314140e+01
8.679877e+08,-8.460136e+01
8.679880e+08,-8.670585e+01
8.679883e+08,-8.154472e+01
8.679886e+08,-8.007987e+01
8.679890e+08,-7.926444e+01
8.679893e+08,-7.765800e+01
8.679896e+08,-7.834159e+01
8.679900e+08,-7.756034e+01
8.679903e+08,-7.727226e+01
8.679906e+08,-7.747245e+01
8.679909e+08,-7.719901e+01
8.679913e+08,-7.690116e+01
8.679916e+08,-7.702323e+01
8.679919e+08,-7.685722e+01
8.679923e+08,-7.716483e+01
8.679926e+08,-7.722343e+01
8.679929e+08,-7.688163e+01
8.679932e+08,-7.672538e+01
8.679936e+08,-7.689140e+01
8.679939e+08,-7.687187e+01
8.679942e+08,-7.643730e+01
8.679946e+08,-7.603202e+01
8.679949e+08,-7.547538e+01
8.679952e+08,-7.543144e+01
8.679955e+08,-7.514823e+01
8.679959e+08,-7.526542e+01
8.679962e+08,-7.563163e+01
8.679965e+08,-7.609062e+01
8.679968e+08,-7.705741e+01
8.679972e+08,-7.847343e+01
8.679975e+08,-8.068534e+01
8.679978e+08,-8.154472e+01
8.679982e+08,-8.318046e+01
8.679985e+08,-8.462577e+01
8.679988e+08,-8.486503e+01
8.679991e+08,-8.324394e+01
8.679995e+08,-8.379569e+01
8.679998e+08,-8.320976e+01
8.680001e+08,-8.324394e+01
8.680005e+08,-8.392265e+01
8.680008e+08,-8.466483e+01
8.680011e+08,-8.545097e+01
8.680014e+08,-8.611503e+01
8.680018e+08,-8.610526e+01
8.680021e+08,-8.674980e+01
8.680024e+08,-8.661308e+01
8.680028e+08,-8.857108e+01
8.680031e+08,-8.780937e+01
8.680034e+08,-8.903495e+01
8.680037e+08,-8.719413e+01
8.680041e+08,-8.874198e+01
8.680044e+08,-8.813163e+01
8.680047e+08,-8.833183e+01
8.680051e+08,-8.876640e+01
8.680054e+08,-8.653495e+01
8.680057e+08,-8.675468e+01
8.680060e+08,-8.373222e+01
8.680064e+08,-8.209647e+01
8.680067e+08,-8.195487e+01
8.680070e+08,-8.158378e+01
8.680074e+08,-8.153983e+01
8.680077e+08,-8.145194e+01
8.680080e+08,-8.185722e+01
8.680083e+08,-8.319999e+01
8.680087e+08,-8.405937e+01
8.680090e+08,-8.506034e+01
8.680093e+08,-8.615409e+01
8.680097e+08,-8.522147e+01
8.680100e+08,-8.436698e+01
8.680103e+08,-8.427421e+01
8.680106e+08,-8.424003e+01
8.680110e+08,-8.405937e+01
8.680113e+08,-8.209647e+01
8.680116e+08,-8.107597e+01
8.680120e+08,-7.956230e+01
8.680123e+08,-7.747733e+01
8.680126e+08,-7.664726e+01
8.680129e+08,-7.633476e+01
8.680133e+08,-7.528495e+01
8.680136e+08,-7.483085e+01
8.680139e+08,-7.470878e+01
8.680143e+08,-7.453788e+01
8.680146e+08,-7.488944e+01
8.680149e+08,-7.492851e+01
8.680152e+08,-7.499687e+01
8.680156e+08,-7.453788e+01
8.680159e+08,-7.463065e+01
8.680162e+08,-7.444511e+01
8.680165e+08,-7.477714e+01
8.680169e+08,-7.512870e+01
8.680172e+08,-7.551444e+01
8.680175e+08,-7.659355e+01
8.680179e+08,-7.770194e+01
