SF, PWR, RSSI, Packet RSSI, SNR, send_time, rec_time, time_diff
12, 2, -99, -44, 9, 1716290228464, 1716284958250, -5270214
12, 3, -102, -44, 8, 1716290231270, 1716284961055, -5270215
12, 4, -98, -42, 8, 1716290234075, 1716284963860, -5270215
12, 5, -98, -41, 9, 1716290236881, 1716284966666, -5270215
12, 6, -100, -40, 9, 1716290239687, 1716284969471, -5270216
12, 7, -100, -38, 9, 1716290242493, 1716284972277, -5270216
12, 8, -101, -38, 8, 1716290245299, 1716284975083, -5270216
12, 9, -100, -37, 9, 1716290248104, 1716284977889, -5270215
12, 10, -99, -38, 9, 1716290250909, 1716284980693, -5270216
12, 11, -102, -37, 9, 1716290253713, 1716284983497, -5270216
12, 12, -100, -32, 9, 1716290256518, 1716284986302, -5270216
12, 13, -101, -34, 9, 1716290259322, 1716284989106, -5270216
12, 14, -103, -36, 9, 1716290262127, 1716284991911, -5270216
12, 15, -24, -24, 8, 1716290264931, 1716284994715, -5270216
12, 15, -100, -32, 8, 1716290267332, 1716284996362, -5270970
12, 15, -26, -24, 10, 1716290269734, 1716284998691, -5271043
12, 15, -27, -23, 9, 1716290272135, 1716285000338, -5271797
12, 15, -27, -26, 9, 1716290272135, 1716285001984, -5270151
12, 15, -100, -27, 8, 1716290274536, 1716285003631, -5270905
12, 15, -16, -15, 11, 1716290276938, 1716285005895, -5271043
12, 15, -18, -14, 10, 1716290279339, 1716285007541, -5271798
12, 15, -18, -14, 10, 1716290279339, 1716285009188, -5270151
12, 15, -99, -25, 11, 1716290281741, 1716285010835, -5270906
12, 15, -20, -15, 8, 1716290284142, 1716285013099, -5271043
12, 15, -18, -15, 11, 1716290286544, 1716285014745, -5271799
12, 15, -20, -15, 10, 1716290286544, 1716285016393, -5270151
12, 15, -98, -26, 11, 1716290288945, 1716285018040, -5270905
12, 15, -20, -15, 10, 1716290291347, 1716285020304, -5271043
12, 15, -20, -17, 9, 1716290293749, 1716285021951, -5271798
12, 15, -18, -17, 11, 1716290293749, 1716285023597, -5270152
12, 15, -99, -27, 10, 1716290296150, 1716285025244, -5270906
12, 15, -20, -16, 10, 1716290298552, 1716285027509, -5271043
12, 15, -18, -16, 10, 1716290300953, 1716285029155, -5271798
12, 15, -20, -16, 10, 1716290300953, 1716285030802, -5270151
12, 15, -96, -26, 11, 1716290303355, 1716285032449, -5270906
12, 15, -20, -16, 9, 1716290305756, 1716285034713, -5271043
