SF, PWR, RSSI, Packet RSSI, SNR, send_time, rec_time, time_diff
12, 2, -102, -102, -4, 1716204862409, 1716205141808, 279399
12, 3, -100, -103, -6, 1716204865215, 1716205144613, 279398
12, 4, -100, -102, -1, 1716204868021, 1716205147419, 279398
12, 5, -102, -100, 2, 1716204870827, 1716205150225, 279398
12, 6, -101, -102, -2, 1716204873633, 1716205153030, 279397
12, 7, -102, -102, -1, 1716204876440, 1716205155838, 279398
12, 8, -103, -102, -2, 1716204879246, 1716205158644, 279398
12, 9, -94, -100, 1, 1716204882052, 1716205161448, 279396
12, 10, -105, -100, 3, 1716204884857, 1716205164253, 279396
12, 11, -98, -99, 4, 1716204887663, 1716205167060, 279397
12, 12, -101, -97, 4, 1716204890469, 1716205169867, 279398
12, 13, -103, -96, 5, 1716204893274, 1716205172672, 279398
12, 14, -98, -96, 6, 1716204896080, 1716205175477, 279397
12, 15, -96, -95, 5, 1716204898886, 1716205178283, 279397
12, 15, -99, -96, 6, 1716204901288, 1716205179930, 278642
12, 15, -98, -94, 6, 1716204903690, 1716205182260, 278570
12, 15, -98, -95, 5, 1716204906092, 1716205183906, 277814
12, 15, -96, -95, 6, 1716204906092, 1716205185555, 279463
12, 15, -101, -96, 7, 1716204908493, 1716205187199, 278706
12, 15, -98, -95, 6, 1716204910895, 1716205189465, 278570
12, 15, -96, -92, 8, 1716204913297, 1716205191113, 277816
12, 15, -96, -92, 8, 1716204913297, 1716205192759, 279462
12, 15, -101, -96, 7, 1716204915698, 1716205194406, 278708
12, 15, -98, -96, 5, 1716204918100, 1716205196670, 278570
12, 15, -96, -94, 6, 1716204920503, 1716205198317, 277814
12, 15, -94, -96, 5, 1716204920503, 1716205199964, 279461
12, 15, -104, -96, 5, 1716204922905, 1716205201611, 278706
12, 15, -99, -95, 6, 1716204925307, 1716205203878, 278571
12, 15, -98, -96, 5, 1716204927709, 1716205205522, 277813
12, 15, -98, -96, 4, 1716204927709, 1716205207170, 279461
12, 15, -109, -98, 4, 1716204930110, 1716205208818, 278708
12, 15, -96, -96, 6, 1716204932512, 1716205211082, 278570
12, 15, -96, -95, 5, 1716204934914, 1716205212728, 277814
12, 15, -99, -95, 5, 1716204934914, 1716205214377, 279463
12, 15, -103, -96, 6, 1716204937316, 1716205216022, 278706
12, 15, -98, -96, 6, 1716204939718, 1716205218288, 278570
12, 15, -98, -95, 5, 1716204942120, 1716205219934, 277814
12, 15, -98, -95, 5, 1716204942120, 1716205221582, 279462
12, 15, -102, -97, 5, 1716204944522, 1716205223229, 278707
12, 15, -96, -95, 6, 1716204946924, 1716205225494, 278570
12, 15, -98, -96, 6, 1716204949326, 1716205227141, 277815
12, 15, -98, -95, 6, 1716204949326, 1716205228788, 279462
12, 15, -100, -97, 5, 1716204951728, 1716205230435, 278707
12, 15, -94, -95, 4, 1716204954130, 1716205232700, 278570
12, 15, -94, -95, 4, 1716204956532, 1716205234345, 277813
12, 15, -98, -95, 5, 1716204956532, 1716205235994, 279462
12, 15, -102, -96, 4, 1716204958934, 1716205237640, 278706
12, 15, -99, -96, 5, 1716204961335, 1716205239906, 278571
12, 15, -96, -95, 4, 1716204963737, 1716205241551, 277814
12, 15, -99, -95, 5, 1716204963737, 1716205243199, 279462
12, 15, -101, -97, 5, 1716204966139, 1716205244845, 278706
12, 15, -98, -96, 6, 1716204968541, 1716205247110, 278569
12, 15, -98, -95, 5, 1716204970943, 1716205248758, 277815
12, 15, -98, -95, 5, 1716204970943, 1716205250404, 279461
12, 15, -102, -96, 6, 1716204973345, 1716205252052, 278707
12, 15, -98, -96, 5, 1716204975746, 1716205254316, 278570
12, 15, -98, -96, 5, 1716204978148, 1716205255963, 277815
12, 15, -95, -96, 5, 1716204978148, 1716205257609, 279461
12, 15, -102, -97, 5, 1716204980550, 1716205259257, 278707
12, 15, -96, -95, 5, 1716204982952, 1716205261521, 278569
12, 15, -96, -94, 5, 1716204985354, 1716205263168, 277814
12, 15, -94, -94, 5, 1716204985354, 1716205264815, 279461
12, 15, -100, -96, 5, 1716204987756, 1716205266487, 278731
12, 15, -94, -95, 6, 1716204990158, 1716205268727, 278569
12, 15, -96, -95, 6, 1716204992560, 1716205270374, 277814
12, 15, -98, -94, 6, 1716204992560, 1716205272022, 279462
12, 15, -101, -96, 6, 1716204994962, 1716205273669, 278707
12, 15, -98, -94, 6, 1716204997364, 1716205275934, 278570
12, 15, -96, -95, 5, 1716204999766, 1716205277579, 277813
12, 15, -98, -95, 5, 1716204999766, 1716205279228, 279462
12, 15, -103, -97, 6, 1716205002168, 1716205280874, 278706
12, 15, -100, -96, 5, 1716205004570, 1716205283141, 278571
12, 15, -99, -96, 6, 1716205006972, 1716205284787, 277815
12, 15, -99, -97, 5, 1716205006972, 1716205286433, 279461
12, 15, -103, -95, 6, 1716205009374, 1716205288080, 278706
12, 15, -96, -94, 5, 1716205011776, 1716205290346, 278570
12, 15, -98, -94, 6, 1716205014178, 1716205291993, 277815
12, 15, -96, -95, 5, 1716205014178, 1716205293639, 279461
12, 15, -101, -96, 5, 1716205016580, 1716205295284, 278704
12, 15, -94, -95, 6, 1716205018982, 1716205297550, 278568
12, 15, -98, -95, 6, 1716205021383, 1716205299199, 277816
12, 15, -98, -95, 6, 1716205021383, 1716205300845, 279462
12, 15, -100, -96, 5, 1716205023785, 1716205302492, 278707
12, 15, -96, -94, 5, 1716205026187, 1716205304755, 278568
