SF, PWR, RSSI, Packet RSSI, SNR, send_time, rec_time, time_diff
12, 14, -100, -71, 10, 1716204342646, 1716204345183, 2537
12, 15, -66, -64, 10, 1716204345452, 1716204347988, 2536
12, 15, -102, -67, 12, 1716204347853, 1716204349634, 1781
12, 15, -66, -61, 11, 1716204350256, 1716204351964, 1708
12, 15, -66, -63, 10, 1716204352658, 1716204353612, 954
12, 15, -69, -63, 10, 1716204352658, 1716204355260, 2602
12, 15, -103, -68, 9, 1716204355060, 1716204356906, 1846
12, 15, -68, -64, 10, 1716204357462, 1716204359171, 1709
12, 15, -70, -65, 11, 1716204359864, 1716204360818, 954
12, 15, -68, -65, 10, 1716204359864, 1716204362463, 2599
12, 15, -100, -71, 10, 1716204362266, 1716204364112, 1846
12, 15, -74, -73, 10, 1716204364668, 1716204366376, 1708
12, 15, -72, -66, 10, 1716204367070, 1716204368025, 955
12, 15, -68, -64, 9, 1716204367070, 1716204369670, 2600
12, 15, -102, -70, 9, 1716204369472, 1716204371318, 1846
12, 15, -66, -65, 10, 1716204371874, 1716204373582, 1708
12, 15, -72, -65, 9, 1716204374279, 1716204375231, 952
12, 15, -69, -65, 9, 1716204374279, 1716204376877, 2598
12, 15, -100, -70, 9, 1716204376689, 1716204378523, 1834
12, 15, -74, -66, 10, 1716204379096, 1716204380714, 1618
12, 15, -70, -67, 12, 1716204381500, 1716204382360, 860
12, 15, -74, -68, 8, 1716204381500, 1716204384006, 2506
12, 15, -103, -67, 11, 1716204383902, 1716204385654, 1752
12, 15, -68, -62, 11, 1716204386304, 1716204387862, 1558
12, 15, -66, -60, 11, 1716204388707, 1716204389509, 802
12, 15, -66, -60, 12, 1716204388707, 1716204391156, 2449
12, 15, -101, -66, 9, 1716204391110, 1716204392802, 1692
12, 15, -68, -61, 11, 1716204393512, 1716204395048, 1536
12, 15, -66, -61, 11, 1716204395915, 1716204396694, 779
12, 15, -62, -61, 11, 1716204395915, 1716204398339, 2424
12, 15, -102, -65, 10, 1716204398317, 1716204399988, 1671
12, 15, -63, -62, 12, 1716204400719, 1716204402243, 1524
12, 15, -66, -65, 10, 1716204403121, 1716204403892, 771
12, 15, -64, -63, 10, 1716204403121, 1716204405537, 2416
12, 15, -98, -69, 9, 1716204405523, 1716204407186, 1663
12, 15, -68, -64, 8, 1716204407925, 1716204409447, 1522
12, 15, -62, -63, 10, 1716204410327, 1716204411094, 767
12, 15, -69, -63, 11, 1716204410327, 1716204412741, 2414
12, 15, -100, -69, 8, 1716204412729, 1716204414388, 1659
12, 15, -69, -64, 11, 1716204415131, 1716204416653, 1522
12, 15, -69, -64, 10, 1716204417533, 1716204418299, 766
12, 15, -66, -64, 10, 1716204417533, 1716204419945, 2412
12, 15, -101, -69, 8, 1716204419935, 1716204421592, 1657
12, 15, -68, -63, 9, 1716204422337, 1716204423857, 1520
12, 15, -69, -64, 9, 1716204424739, 1716204425506, 767
12, 15, -66, -64, 12, 1716204424739, 1716204427150, 2411
12, 15, -101, -69, 9, 1716204427141, 1716204428798, 1657
12, 15, -68, -64, 9, 1716204429543, 1716204431064, 1521
12, 15, -68, -64, 9, 1716204431945, 1716204432710, 765
12, 15, -66, -64, 9, 1716204431945, 1716204434356, 2411
12, 15, -100, -69, 11, 1716204434347, 1716204436004, 1657
12, 15, -66, -65, 10, 1716204436749, 1716204438269, 1520
12, 15, -66, -64, 9, 1716204439151, 1716204439915, 764
12, 15, -68, -64, 9, 1716204439151, 1716204441563, 2412
12, 15, -100, -69, 10, 1716204441553, 1716204443209, 1656
12, 15, -68, -63, 9, 1716204443955, 1716204445508, 1553
12, 15, -69, -63, 9, 1716204446357, 1716204447156, 799
12, 15, -70, -64, 10, 1716204446357, 1716204448803, 2446
12, 15, -105, -70, 10, 1716204448759, 1716204450450, 1691
12, 15, -70, -64, 10, 1716204451161, 1716204452790, 1629
12, 15, -66, -64, 11, 1716204453563, 1716204454435, 872
12, 15, -69, -64, 9, 1716204453563, 1716204456084, 2521
12, 15, -100, -68, 9, 1716204455965, 1716204457729, 1764
12, 15, -66, -63, 9, 1716204458367, 1716204460025, 1658
12, 15, -68, -65, 10, 1716204460769, 1716204461673, 904
12, 15, -68, -65, 9, 1716204460769, 1716204463319, 2550
12, 15, -100, -69, 11, 1716204463171, 1716204464966, 1795
12, 15, -66, -63, 10, 1716204465573, 1716204467245, 1672
12, 15, -68, -64, 11, 1716204467975, 1716204468893, 918
12, 15, -69, -64, 9, 1716204467975, 1716204470540, 2565
12, 15, -99, -68, 10, 1716204470377, 1716204472186, 1809
12, 15, -68, -63, 9, 1716204472779, 1716204474460, 1681
12, 15, -68, -63, 9, 1716204475181, 1716204476106, 925
12, 15, -66, -63, 10, 1716204475181, 1716204477753, 2572
12, 15, -101, -68, 11, 1716204477586, 1716204479400, 1814
12, 15, -69, -64, 9, 1716204479991, 1716204481604, 1613
12, 15, -68, -63, 11, 1716204482394, 1716204483250, 856
12, 15, -69, -63, 10, 1716204482394, 1716204484897, 2503
12, 15, -98, -69, 9, 1716204484798, 1716204486544, 1746
12, 15, -70, -65, 8, 1716204487201, 1716204488765, 1564
12, 15, -66, -62, 11, 1716204489603, 1716204490412, 809
12, 15, -68, -66, 10, 1716204489603, 1716204492058, 2455
12, 15, -99, -71, 10, 1716204492006, 1716204493704, 1698
12, 15, -75, -70, 11, 1716204494409, 1716204495953, 1544
12, 15, -69, -64, 9, 1716204496811, 1716204497602, 791
12, 15, -68, -61, 11, 1716204496811, 1716204499247, 2436
12, 15, -102, -69, 10, 1716204499213, 1716204500893, 1680
12, 15, -69, -64, 9, 1716204501615, 1716204503149, 1534
12, 15, -69, -65, 10, 1716204504018, 1716204504796, 778
12, 15, -69, -65, 9, 1716204504018, 1716204506443, 2425
12, 15, -100, -69, 8, 1716204506420, 1716204508089, 1669
12, 15, -69, -65, 9, 1716204508822, 1716204510385, 1563
12, 15, -69, -65, 9, 1716204511223, 1716204512032, 809
12, 15, -66, -65, 11, 1716204511223, 1716204513677, 2454
12, 15, -100, -70, 8, 1716204513625, 1716204515326, 1701
12, 15, -69, -64, 9, 1716204516027, 1716204517674, 1647
