SF, PWR, RSSI, Packet RSSI, SNR, send_time, rec_time, time_diff
12, 2, -99, -104, -16, 1716274339982, 1716283549257, 9209275
12, 3, -99, -102, -13, 1716274342785, 1716283552061, 9209276
12, 5, -99, -103, -11, 1716274348394, 1716283557669, 9209275
12, 6, -100, -103, -12, 1716274351198, 1716283560472, 9209274
12, 7, -102, -103, -17, 1716274354001, 1716283563277, 9209276
12, 8, -102, -103, -18, 1716274356806, 1716283566082, 9209276
12, 11, -102, -103, -10, 1716274365219, 1716283574493, 9209274
12, 12, -98, -103, -12, 1716274368023, 1716283577298, 9209275
12, 13, -94, -102, -9, 1716274370827, 1716283580103, 9209276
12, 15, -103, -103, -14, 1716274376436, 1716283585712, 9209276
12, 15, -102, -102, -9, 1716274381239, 1716283589687, 9208448
12, 15, -100, -101, 1, 1716274383640, 1716283591333, 9207693
12, 15, -104, -102, -11, 1716274383640, 1716283592981, 9209341
12, 15, -102, -103, -9, 1716274386042, 1716283594628, 9208586
12, 15, -100, -102, -9, 1716274388443, 1716283596891, 9208448
12, 15, -101, -103, -8, 1716274390845, 1716283598537, 9207692
12, 15, -102, -102, -13, 1716274390845, 1716283600185, 9209340
12, 15, -102, -103, -12, 1716274393246, 1716283601831, 9208585
12, 15, -100, -102, -8, 1716274395648, 1716283604095, 9208447
12, 15, -100, -103, -12, 1716274398049, 1716283605741, 9207692
12, 15, -100, -103, -10, 1716274398049, 1716283607388, 9209339
12, 15, -100, -103, -9, 1716274400450, 1716283609035, 9208585
12, 15, -100, -103, -8, 1716274402852, 1716283611300, 9208448
12, 15, -101, -103, -9, 1716274405253, 1716283612945, 9207692
12, 15, -104, -102, -10, 1716274405253, 1716283614593, 9209340
12, 15, -101, -103, -10, 1716274407655, 1716283616239, 9208584
12, 15, -102, -103, -10, 1716274410056, 1716283618504, 9208448
12, 15, -102, -104, -12, 1716274412458, 1716283620150, 9207692
12, 15, -100, -103, -11, 1716274412458, 1716283621798, 9209340
12, 15, -103, -103, -7, 1716274414859, 1716283623444, 9208585
12, 15, -101, -104, -14, 1716274417260, 1716283625708, 9208448
12, 15, -100, -103, -9, 1716274419662, 1716283627354, 9207692
12, 15, -103, -102, -7, 1716274419662, 1716283629002, 9209340
12, 15, -104, -103, -7, 1716274422063, 1716283630649, 9208586
12, 15, -100, -104, -7, 1716274424465, 1716283632912, 9208447
12, 15, -94, -102, -9, 1716274426866, 1716283634559, 9207693
12, 15, -100, -104, -6, 1716274426866, 1716283636205, 9209339
12, 15, -94, -102, -9, 1716274429268, 1716283637852, 9208584
12, 15, -105, -103, -7, 1716274431669, 1716283640118, 9208449
12, 15, -100, -103, -11, 1716274434071, 1716283641763, 9207692
12, 15, -104, -104, -11, 1716274434071, 1716283643409, 9209338
12, 15, -100, -103, -11, 1716274436472, 1716283645057, 9208585
