SF,PWR,RSSI,Packet RSSI,SNR,send_time,rec_time,time_diff
10,2,-108,-84,10,1716290665160,1716409065569,118400409
10,3,-97,-82,10,1716290666215,1716409066622,118400407
10,4,-99,-82,13,1716290667269,1716409067677,118400408
10,5,-99,-80,13,1716290668323,1716409068732,118400409
10,6,-99,-80,12,1716290669378,1716409069786,118400408
10,7,-100,-79,9,1716290670432,1716409070840,118400408
10,8,-100,-79,10,1716290671486,1716409071895,118400409
10,9,-94,-77,11,1716290672541,1716409072949,118400408
10,10,-100,-77,12,1716290673595,1716409074003,118400408
10,11,-100,-76,13,1716290674649,1716409075058,118400409
10,12,-100,-77,13,1716290675704,1716409076111,118400407
10,13,-96,-77,12,1716290676758,1716409077166,118400408
10,14,-97,-74,11,1716290677812,1716409078221,118400409
10,15,-100,-68,10,1716290678867,1716409079275,118400408
10,15,-61,-63,11,1716290679518,1716409079720,118400202
10,15,-62,-62,10,1716290680170,1716409080131,118399961
10,15,-98,-67,11,1716290680170,1716409080542,118400372
10,15,-60,-62,11,1716290680821,1716409081023,118400202
10,15,-59,-60,13,1716290681472,1716409081434,118399962
10,15,-97,-67,12,1716290681472,1716409081846,118400374
10,15,-66,-66,13,1716290682124,1716409082325,118400201
10,15,-70,-70,11,1716290682775,1716409082736,118399961
10,15,-99,-74,10,1716290682775,1716409083148,118400373
10,15,-68,-69,11,1716290683427,1716409083627,118400200
10,15,-69,-70,11,1716290684078,1716409084040,118399962
10,15,-98,-70,11,1716290684078,1716409084452,118400374
10,15,-59,-60,14,1716290684729,1716409084931,118400202
10,15,-61,-61,12,1716290685381,1716409085342,118399961
10,15,-99,-65,13,1716290685381,1716409085754,118400373
10,15,-62,-62,12,1716290686032,1716409086233,118400201
10,15,-59,-61,14,1716290686684,1716409086645,118399961
10,15,-100,-65,12,1716290686684,1716409087058,118400374
10,15,-59,-60,14,1716290687335,1716409087536,118400201
10,15,-60,-60,14,1716290687986,1716409087947,118399961
10,15,-97,-65,13,1716290687986,1716409088360,118400374
10,15,-60,-60,14,1716290688638,1716409088838,118400200
10,15,-59,-60,13,1716290689289,1716409089251,118399962
10,15,-99,-65,12,1716290689289,1716409089663,118400374
10,15,-59,-60,13,1716290689941,1716409090142,118400201
10,15,-59,-61,13,1716290690592,1716409090553,118399961
10,15,-98,-66,13,1716290690592,1716409090966,118400374
10,15,-58,-59,13,1716290691244,1716409091445,118400201
10,15,-58,-60,14,1716290691895,1716409091856,118399961
10,15,-100,-65,13,1716290691895,1716409092268,118400373
10,15,-59,-60,13,1716290692546,1716409092747,118400201
10,15,-58,-60,13,1716290693198,1716409093159,118399961
10,15,-102,-65,12,1716290693198,1716409093571,118400373
10,15,-59,-60,14,1716290693849,1716409094050,118400201
10,15,-58,-59,13,1716290694500,1716409094462,118399962
10,15,-100,-66,13,1716290694500,1716409094873,118400373
10,15,-59,-61,13,1716290695152,1716409095353,118400201
10,15,-58,-59,14,1716290695803,1716409095764,118399961
10,15,-97,-65,14,1716290695803,1716409096177,118400374
10,15,-56,-59,9,1716290696455,1716409096656,118400201
10,15,-59,-58,12,1716290697106,1716409097067,118399961
10,15,-100,-65,11,1716290697106,1716409097479,118400373
10,15,-58,-60,11,1716290697758,1716409097958,118400200
10,15,-58,-60,13,1716290698409,1716409098370,118399961
10,15,-99,-64,9,1716290698409,1716409098782,118400373
10,15,-57,-59,10,1716290699060,1716409099261,118400201
10,15,-58,-59,10,1716290699712,1716409099673,118399961
10,15,-98,-64,12,1716290699712,1716409100085,118400373
10,15,-58,-59,10,1716290700363,1716409100564,118400201
10,15,-58,-58,12,1716290701015,1716409100975,118399960
10,15,-100,-64,12,1716290701015,1716409101388,118400373
10,15,-57,-59,12,1716290701666,1716409101868,118400202
10,15,-57,-58,12,1716290702317,1716409102279,118399962
10,15,-100,-64,13,1716290702317,1716409102691,118400374
10,15,-57,-59,13,1716290702969,1716409103170,118400201
10,15,-58,-59,12,1716290703620,1716409103582,118399962
10,15,-99,-64,10,1716290703620,1716409103993,118400373
10,15,-58,-59,10,1716290704272,1716409104472,118400200
10,15,-59,-58,11,1716290704923,1716409104884,118399961
10,15,-99,-64,12,1716290704923,1716409105296,118400373
10,15,-57,-59,12,1716290705574,1716409105776,118400202
10,15,-100,-64,11,1716290706226,1716409106599,118400373
10,15,-56,-59,11,1716290706877,1716409107079,118400202
10,15,-57,-59,12,1716290707529,1716409107490,118399961
10,15,-94,-64,11,1716290707529,1716409107903,118400374
10,15,-58,-59,12,1716290708180,1716409108381,118400201
10,15,-56,-59,12,1716290708831,1716409108793,118399962
10,15,-100,-64,12,1716290708831,1716409109204,118400373
10,15,-58,-59,12,1716290709483,1716409109683,118400200
10,15,-57,-59,12,1716290710134,1716409110096,118399962
10,15,-99,-64,12,1716290710134,1716409110507,118400373
10,15,-58,-59,12,1716290710786,1716409110986,118400200
10,15,-58,-59,12,1716290711437,1716409111398,118399961
10,15,-100,-65,13,1716290711437,1716409111811,118400374
10,15,-57,-59,12,1716290712089,1716409112290,118400201
10,15,-57,-59,12,1716290712740,1716409112701,118399961
10,15,-100,-65,11,1716290712740,1716409113113,118400373
10,15,-57,-59,13,1716290713391,1716409113593,118400202
10,15,-58,-59,14,1716290714043,1716409114004,118399961
10,15,-98,-64,13,1716290714043,1716409114415,118400372
10,15,-57,-59,10,1716290714694,1716409114895,118400201
10,15,-59,-59,12,1716290715346,1716409115306,118399960
10,15,-108,-64,11,1716290715346,1716409115718,118400372
10,15,-57,-59,10,1716290715997,1716409116198,118400201
10,15,-57,-59,11,1716290716648,1716409116610,118399962
10,15,-99,-65,13,1716290716648,1716409117023,118400375
10,15,-58,-59,14,1716290717300,1716409117501,118400201
10,15,-58,-59,13,1716290717951,1716409117912,118399961
10,15,-98,-65,14,1716290717951,1716409118324,118400373
10,15,-70,-72,12,1716290718603,1716409118803,118400200
10,15,-58,-60,12,1716290719254,1716409119215,118399961
10,15,-99,-65,13,1716290719254,1716409119628,118400374
10,15,-58,-58,13,1716290719906,1716409120107,118400201
10,15,-57,-59,11,1716290720557,1716409120518,118399961
10,15,-100,-65,11,1716290720557,1716409120930,118400373
10,15,-61,-60,13,1716290721208,1716409121409,118400201
10,15,-58,-59,14,1716290721860,1716409121822,118399962
10,15,-98,-65,12,1716290721860,1716409122233,118400373
10,15,-58,-59,11,1716290722511,1716409122712,118400201
10,15,-59,-60,9,1716290723163,1716409123124,118399961
10,15,-102,-66,13,1716290723163,1716409123536,118400373
10,15,-58,-59,12,1716290723814,1716409124014,118400200
10,15,-58,-59,12,1716290724465,1716409124427,118399962
10,15,-98,-65,13,1716290724465,1716409124839,118400374
10,15,-58,-60,14,1716290725117,1716409125318,118400201
10,15,-58,-60,14,1716290725768,1716409125729,118399961
10,15,-96,-66,14,1716290725768,1716409126141,118400373
10,15,-58,-60,14,1716290726420,1716409126621,118400201
10,15,-58,-60,14,1716290727071,1716409127032,118399961
10,15,-99,-65,14,1716290727071,1716409127444,118400373
10,15,-61,-60,14,1716290727722,1716409127923,118400201
10,15,-58,-60,14,1716290728374,1716409128335,118399961
10,15,-100,-65,14,1716290728374,1716409128747,118400373
10,15,-59,-60,14,1716290729025,1716409129226,118400201
10,15,-58,-60,14,1716290729677,1716409129638,118399961
10,15,-99,-66,14,1716290729677,1716409130049,118400372
10,15,-58,-60,14,1716290730328,1716409130529,118400201
10,15,-60,-61,12,1716290730979,1716409130941,118399962
10,15,-102,-65,14,1716290730979,1716409131352,118400373
10,15,-58,-61,14,1716290731631,1716409131832,118400201
10,15,-60,-61,13,1716290732282,1716409132243,118399961
10,15,-102,-67,13,1716290732282,1716409132656,118400374
10,15,-58,-60,12,1716290732934,1716409133135,118400201
10,15,-59,-60,13,1716290733585,1716409133547,118399962
10,15,-99,-66,11,1716290733585,1716409133958,118400373
10,15,-58,-60,13,1716290734236,1716409134437,118400201
