SF,PWR,RSSI,Packet RSSI,SNR,send_time,rec_time,time_diff
9, 5, -101, -103, -13, 1716274859904, 1716284555098, 9695194
9, 6, -101, -103, -14, 1716274860658, 1716284555852, 9695194
9, 9, -104, -103, -14, 1716274862921, 1716284558116, 9695195
9, 10, -102, -103, -12, 1716274863675, 1716284558870, 9695195
9, 11, -94, -104, -13, 1716274864430, 1716284559625, 9695195
9, 13, -101, -103, -10, 1716274865938, 1716284561134, 9695196
9, 14, -100, -103, -9, 1716274866693, 1716284561888, 9695195
9, 15, -101, -102, -11, 1716274867447, 1716284562643, 9695196
9, 15, -101, -103, -12, 1716274867798, 1716284562891, 9695093
9, 15, -101, -103, -12, 1716274868501, 1716284563594, 9695093
9, 15, -101, -104, -12, 1716274868852, 1716284563821, 9694969
9, 15, -102, -103, -11, 1716274870258, 1716284565228, 9694970
9, 15, -101, -103, -10, 1716274870258, 1716284565453, 9695195
9, 15, -103, -103, -10, 1716274870609, 1716284565703, 9695094
9, 15, -101, -102, -10, 1716274870961, 1716284565929, 9694968
9, 15, -103, -103, -9, 1716274870961, 1716284566157, 9695196
9, 15, -100, -103, -7, 1716274871312, 1716284566406, 9695094
9, 15, -99, -103, -10, 1716274871663, 1716284566633, 9694970
9, 15, -102, -103, -10, 1716274871663, 1716284566859, 9695196
9, 15, -103, -104, -8, 1716274872015, 1716284567108, 9695093
9, 15, -100, -103, -10, 1716274872366, 1716284567336, 9694970
9, 15, -101, -103, -13, 1716274872717, 1716284567812, 9695095
9, 15, -100, -104, -12, 1716274873069, 1716284568038, 9694969
9, 15, -102, -103, -10, 1716274873069, 1716284568265, 9695196
9, 15, -103, -103, -11, 1716274873772, 1716284568968, 9695196
9, 15, -101, -103, -11, 1716274874474, 1716284569671, 9695197
9, 15, -101, -103, -10, 1716274874826, 1716284569921, 9695095
9, 15, -100, -102, -9, 1716274875177, 1716284570147, 9694970
9, 15, -102, -103, -9, 1716274875177, 1716284570375, 9695198
9, 15, -100, -103, -14, 1716274875528, 1716284570624, 9695096
9, 15, -103, -104, -14, 1716274875880, 1716284570850, 9694970
9, 15, -103, -104, -8, 1716274876934, 1716284572029, 9695095
9, 15, -101, -103, -9, 1716274877285, 1716284572256, 9694971
9, 15, -100, -103, -11, 1716274877285, 1716284572483, 9695198
9, 15, -100, -103, -10, 1716274877637, 1716284572733, 9695096
9, 15, -101, -102, -9, 1716274877988, 1716284572959, 9694971
9, 15, -101, -103, -9, 1716274877988, 1716284573186, 9695198
9, 15, -100, -103, -9, 1716274878339, 1716284573436, 9695097
9, 15, -100, -102, -6, 1716274878691, 1716284573663, 9694972
9, 15, -104, -103, -6, 1716274878691, 1716284573889, 9695198
9, 15, -100, -103, -7, 1716274879042, 1716284574139, 9695097
9, 15, -103, -103, -9, 1716274879393, 1716284574365, 9694972
9, 15, -103, -104, -9, 1716274879745, 1716284574842, 9695097
9, 15, -103, -104, -10, 1716274880096, 1716284575068, 9694972
9, 15, -103, -103, -6, 1716274880096, 1716284575295, 9695199
9, 15, -102, -103, -5, 1716274880448, 1716284575544, 9695096
9, 15, -100, -102, -3, 1716274880799, 1716284575771, 9694972
9, 15, -95, -102, -5, 1716274880799, 1716284575998, 9695199
9, 15, -98, -101, -4, 1716274881502, 1716284576475, 9694973
9, 15, -103, -102, -1, 1716274881502, 1716284576701, 9695199
9, 15, -100, -101, 0, 1716274881853, 1716284576951, 9695098
9, 15, -98, -100, 0, 1716274882205, 1716284577177, 9694972
9, 15, -103, -101, -1, 1716274882205, 1716284577404, 9695199
9, 15, -100, -102, -4, 1716274882556, 1716284577654, 9695098
9, 15, -102, -102, -4, 1716274882907, 1716284577880, 9694973
9, 15, -102, -103, -8, 1716274882907, 1716284578107, 9695200
9, 2, -94, -103, -15, 8567151287138966552, 1716284578810, -8567149570854387742
9, 15, -102, -103, -11, 1716274883961, 1716284579059, 9695098
9, 15, -101, -103, -10, 1716274884313, 1716284579286, 9694973
9, 15, -101, -103, -9, 1716274884313, 1716284579513, 9695200
9, 15, -101, -103, -10, 1716274884664, 1716284579763, 9695099
9, 15, -100, -103, -9, 1716274885015, 1716284579989, 9694974
9, 15, -100, -103, -13, 1716274885015, 1716284580215, 9695200
9, 15, -101, -103, -11, 1716274885367, 1716284580466, 9695099
9, 15, -105, -103, -10, 1716274885718, 1716284580692, 9694974
9, 15, -99, -103, -10, 1716274885718, 1716284580919, 9695201
9, 2, -101, -103, -17, 8567151287138966552, 1716284581622, -8567149570854384930
9, 15, -102, -104, -14, 1716274887826, 1716284583027, 9695201
9, 15, -100, -103, -13, 1716274889232, 1716284584207, 9694975
9, 15, -101, -103, -13, 1716274889232, 1716284584434, 9695202
9, 15, -103, -103, -11, 1716274889935, 1716284584909, 9694974
9, 15, -101, -104, -13, 1716274889935, 1716284585136, 9695201
9, 15, -100, -104, -14, 1716274890286, 1716284585386, 9695100
9, 2, -101, -103, -16, 8567151287138966552, 1716284586088, -8567149570854380464
9, 15, -102, -104, -12, 1716274893097, 1716284588198, 9695101
9, 15, -94, -104, -10, 1716274893448, 1716284588424, 9694976
9, 15, -103, -103, -10, 1716274893448, 1716284588651, 9695203
9, 15, -102, -103, -12, 1716274893800, 1716284588900, 9695100
9, 15, -100, -103, -8, 1716274894503, 1716284589603, 9695100
9, 15, -99, -103, -6, 1716274894854, 1716284589830, 9694976
9, 15, -94, -103, -9, 1716274894854, 1716284590057, 9695203
9, 15, -100, -102, -9, 1716274895205, 1716284590306, 9695101
9, 15, -100, -103, -10, 1716274895557, 1716284590533, 9694976
9, 15, -100, -103, -8, 1716274895557, 1716284590760, 9695203
9, 15, -100, -103, -8, 1716274895908, 1716284591009, 9695101
9, 15, -109, -103, -10, 1716274896260, 1716284591235, 9694975
9, 15, -102, -102, -11, 1716274896260, 1716284591462, 9695202
9, 15, -102, -104, -9, 1716274896962, 1716284591938, 9694976
9, 15, -101, -103, -10, 1716274897665, 1716284592868, 9695203
9, 15, -100, -103, -12, 1716274898016, 1716284593118, 9695102
9, 2, -100, -103, -13, 8567151287138966552, 1716284593571, -8567149570854372981
9, 15, -100, -104, -9, 1716274899071, 1716284594047, 9694976
9, 15, -101, -103, -11, 1716274899071, 1716284594273, 9695202
9, 15, -99, -103, -11, 1716274899422, 1716284594523, 9695101
9, 2, -100, -103, -16, 8567151287138966552, 1716284594977, -8567149570854371575
9, 15, -101, -103, -14, 1716274900828, 1716284595930, 9695102
9, 15, -102, -103, -14, 1716274902233, 1716284597336, 9695103
9, 15, -104, -104, -11, 1716274902233, 1716284597561, 9695328
