SF,PWR,RSSI,Packet RSSI,SNR,send_time,rec_time,time_diff
10,2,-97,-35,9,1716290665585,1716285393491,-5272094
10,3,-98,-34,11,1716290666639,1716285394545,-5272094
10,4,-96,-33,13,1716290667694,1716285395599,-5272095
10,5,-101,-32,14,1716290668748,1716285396653,-5272095
10,6,-96,-31,13,1716290669802,1716285397708,-5272094
10,7,-96,-31,9,1716290670857,1716285398761,-5272096
10,8,-96,-29,10,1716290671911,1716285399816,-5272095
10,9,-98,-29,11,1716290672965,1716285400871,-5272094
10,10,-100,-29,13,1716290674020,1716285401925,-5272095
10,11,-96,-27,13,1716290675074,1716285402980,-5272094
10,12,-97,-27,14,1716290676128,1716285404033,-5272095
10,13,-94,-26,14,1716290677183,1716285405087,-5272096
10,14,-97,-26,12,1716290678237,1716285406142,-5272095
10,15,-97,-26,9,1716290679291,1716285407196,-5272095
10,15,-21,-14,10,1716290679943,1716285407640,-5272303
10,15,-16,-15,9,1716290680594,1716285408053,-5272541
10,15,-95,-26,10,1716290680594,1716285408465,-5272129
10,15,-17,-15,10,1716290681246,1716285408944,-5272302
10,15,-17,-15,9,1716290681897,1716285409355,-5272542
10,15,-98,-26,9,1716290681897,1716285409767,-5272130
10,15,-16,-15,9,1716290682548,1716285410247,-5272301
10,15,-20,-14,10,1716290683200,1716285410658,-5272542
10,15,-97,-25,10,1716290683200,1716285411071,-5272129
10,15,-18,-15,10,1716290683851,1716285411549,-5272302
10,15,-16,-15,10,1716290684503,1716285411961,-5272542
10,15,-96,-25,10,1716290684503,1716285412373,-5272130
10,15,-19,-15,10,1716290685154,1716285412852,-5272302
10,15,-20,-14,10,1716290685805,1716285413263,-5272542
10,15,-95,-25,10,1716290685805,1716285413675,-5272130
10,15,-21,-16,10,1716290686457,1716285414154,-5272303
10,15,-16,-15,10,1716290687108,1716285414567,-5272541
10,15,-97,-26,10,1716290687108,1716285414979,-5272129
10,15,-17,-15,9,1716290687760,1716285415458,-5272302
10,15,-16,-15,9,1716290688411,1716285415870,-5272541
